time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-25T06:11:26.270Z,28.1473,84.7079,15,7.8,mww,,35,5.835,1.19,us,us20002926,2015-05-03T10:11:53.562Z,"34km ESE of Lamjung, Nepal",earthquake
2015-04-25T06:37:58.720Z,27.7239,85.8182,9.85,5.1,mb,,76,5.062,0.67,us,us2000292w,2015-04-25T16:37:33.121Z,"28km SSW of Kodari, Nepal",earthquake
2015-04-25T06:45:21.380Z,28.1927,84.8645,14.62,6.6,mb,,16,5.69,1.17,us,us2000292y,2015-05-02T22:28:24.202Z,"49km E of Lamjung, Nepal",earthquake
2015-04-25T06:56:34.450Z,27.91,85.6501,10,5.5,mb,,55,5.127,1.03,us,us20002934,2015-04-26T17:09:07.526Z,"25km NNE of Nagarkot, Nepal",earthquake
2015-04-25T07:07:59.620Z,27.7278,85.9185,10,5,mb,,86,12.38,0.78,us,us20002939,2015-04-25T08:11:43.314Z,"25km S of Kodari, Nepal",earthquake
2015-04-25T07:13:44.320Z,27.5458,85.5502,10,4.8,mb,,105,5.352,0.68,us,us2000293i,2015-04-25T07:55:23.304Z,"5km SE of Panaoti, Nepal",earthquake
2015-04-25T07:16:56.830Z,28.002,85.2694,10,4.8,mb,,127,5.41,0.98,us,us2000293d,2015-04-25T15:20:10.173Z,"33km N of Kathmandu, Nepal",earthquake
2015-04-25T07:39:33.910Z,27.6659,85.7483,10,4.5,mb,,99,5.142,0.68,us,us2000293l,2015-04-25T15:42:21.269Z,"22km E of Banepa, Nepal",earthquake
2015-04-25T07:47:01.690Z,27.8549,85.5572,10,5,mb,,79,6.076,0.81,us,us2000293p,2015-04-25T08:52:38.183Z,"15km NNE of Nagarkot, Nepal",earthquake
2015-04-25T08:05:37.730Z,27.7307,85.7304,10,4.6,mb,,105,5.13,0.61,us,us2000293v,2015-04-25T08:57:17.865Z,"20km E of Nagarkot, Nepal",earthquake
2015-04-25T08:16:59.090Z,27.6733,85.6878,10,4.9,mb,,89,5.905,0.52,us,us20002942,2015-04-25T16:19:39.879Z,"17km ENE of Banepa, Nepal",earthquake
2015-04-25T08:20:11.980Z,27.9528,85.7219,10,4.7,mb,,55,5.976,0.91,us,us20002944,2015-04-25T16:25:18.399Z,"22km W of Kodari, Nepal",earthquake
2015-04-25T08:29:24.360Z,27.9903,84.7097,10,5,mb,,90,6.827,0.62,us,us20002946,2015-04-25T10:44:04.814Z,"41km SE of Lamjung, Nepal",earthquake
2015-04-25T08:49:09.050Z,27.7579,84.8874,10,4.4,mb,,146,5.811,0.84,us,us2000294a,2015-04-26T05:28:54.972Z,"39km NNW of Hitura, Nepal",earthquake
2015-04-25T08:55:55.730Z,27.6364,85.5029,10,5.3,mb,,42,6.049,0.81,us,us2000294d,2015-04-25T09:42:00.034Z,"1km WNW of Banepa, Nepal",earthquake
2015-04-25T09:03:15.420Z,27.8741,85.3069,10,4.9,mb,,82,6.291,0.65,us,us2000294e,2015-04-25T17:06:53.495Z,"19km N of Kathmandu, Nepal",earthquake
2015-04-25T09:17:02.710Z,28.4282,87.3382,10,5.7,mb,,36,4.936,0.81,us,us2000294g,2015-04-26T09:53:32.472Z,"33km SE of Xegar, China",earthquake
2015-04-25T09:30:29.590Z,27.9938,85.437,10,5,mb,,79,6.225,0.91,us,us2000294i,2015-04-26T09:54:31.465Z,"31km NNW of Nagarkot, Nepal",earthquake
2015-04-25T10:23:19.070Z,27.8732,85.762,10,4.2,mb,,143,5.913,0.61,us,us2000294u,2015-04-25T17:22:19.813Z,"20km WSW of Kodari, Nepal",earthquake
2015-04-25T10:40:35.880Z,27.5667,85.8384,10,4.8,mb,,166,5.112,0.62,us,us2000294x,2015-04-25T11:18:26.622Z,"32km E of Panaoti, Nepal",earthquake
2015-04-25T10:53:43.870Z,27.7719,85.8701,10,4.4,mb,,185,5.788,0.55,us,us2000294y,2015-04-25T18:56:25.081Z,"21km SSW of Kodari, Nepal",earthquake
2015-04-25T12:01:13.610Z,28.0438,85.4854,10,4.2,mb,,183,6.204,0.56,us,us2000295a,2015-04-25T13:21:03.619Z,"36km N of Nagarkot, Nepal",earthquake
2015-04-25T12:17:55.920Z,28.0049,85.5638,10,4.5,mb,,98,5.164,0.74,us,us2000295f,2015-04-25T13:20:35.860Z,"32km N of Nagarkot, Nepal",earthquake
2015-04-25T12:44:04.400Z,28.1513,84.6587,10,5.2,mb,,37,6.924,1.13,us,us2000295i,2015-04-26T12:40:03.256Z,"29km ESE of Lamjung, Nepal",earthquake
2015-04-25T13:30:28.240Z,28.1078,85.0726,10,4.6,mb,,135,6.566,1.23,us,us2000295v,2015-04-25T14:15:26.303Z,"51km NNW of Kathmandu, Nepal",earthquake
2015-04-25T13:36:14.640Z,27.7476,85.89,10,4.6,mb,,185,5.762,0.8,us,us2000295x,2015-04-25T21:38:56.326Z,"23km SSW of Kodari, Nepal",earthquake
2015-04-25T14:10:02.830Z,27.5843,85.6622,10,4.6,mb,,86,5.898,0.87,us,us20002965,2015-04-25T21:31:26.595Z,"14km E of Panaoti, Nepal",earthquake
2015-04-25T16:27:21.780Z,27.9087,85.6175,10,4.9,mb,,79,6.045,0.95,us,us20002970,2015-04-26T11:43:22.702Z,"23km NNE of Nagarkot, Nepal",earthquake
2015-04-25T17:42:50.930Z,28.2621,85.7739,10,5.4,mb,,37,4.904,0.88,us,us2000297g,2015-05-01T21:15:27.040Z,"22km WNW of Chongdui, China",earthquake
2015-04-25T18:58:34.260Z,27.6781,85.3739,10,4.2,mb,,102,5.441,0.92,us,us20002984,2015-04-28T16:43:00.572Z,"5km ESE of Kathmandu, Nepal",earthquake
2015-04-25T20:32:48.120Z,27.5632,85.7583,10,4.4,mb,,105,5.177,0.68,us,us2000298x,2015-04-26T04:35:28.908Z,"24km E of Panaoti, Nepal",earthquake
2015-04-25T21:07:17.930Z,27.732,85.7266,10,4.7,mb,,89,5.893,0.54,us,us20002993,2015-04-26T17:48:53.501Z,"20km E of Nagarkot, Nepal",earthquake
2015-04-25T23:12:52.030Z,27.5606,86.0062,10,4.3,mb,,160,4.981,0.25,us,us200029bb,2015-04-26T07:15:26.607Z,"27km NNW of Ramechhap, Nepal",earthquake
2015-04-25T23:16:15.070Z,27.8052,84.8744,10,5.6,mb,,35,6.63,0.73,us,us2000299v,2015-05-01T20:52:10.040Z,"41km WNW of Kirtipur, Nepal",earthquake
2015-04-25T23:41:52.730Z,27.5598,85.9359,10,4.5,mb,,86,5.66,0.72,us,us2000299x,2015-04-26T07:49:45.703Z,"29km NNW of Ramechhap, Nepal",earthquake
2015-04-26T02:48:39.050Z,28.156,84.6095,10,4.6,mb,,125,5.916,0.86,us,us200029b1,2015-04-26T05:22:46.152Z,"24km ESE of Lamjung, Nepal",earthquake
2015-04-26T03:21:35.670Z,27.4563,85.536,10,4.4,mb,,151,1.236,1.05,us,us200029b9,2015-05-01T21:28:33.526Z,"14km S of Panaoti, Nepal",earthquake
2015-04-26T04:58:39.350Z,27.8362,84.6866,10,4.4,mb,,164,6.798,1.24,us,us200029bl,2015-05-02T22:30:14.216Z,"30km NE of Bharatpur, Nepal",earthquake
2015-04-26T07:09:10.010Z,27.782,85.9971,17.26,6.7,mww,,19,4.894,0.99,us,us200029bt,2015-05-03T08:57:10.653Z,"19km SSE of Kodari, Nepal",earthquake
2015-04-26T07:26:04.420Z,27.707,85.8284,10,5,mb,,85,5.799,0.49,us,us200029bx,2015-05-02T22:31:09.541Z,"29km SSW of Kodari, Nepal",earthquake
2015-04-26T07:36:26.360Z,27.7189,85.929,10,4.7,mb,,166,5.72,0.75,us,us200029by,2015-05-02T22:31:46.107Z,"25km S of Kodari, Nepal",earthquake
2015-04-26T08:40:55.220Z,27.591,85.6782,10,4.6,mb,,99,5.887,0.57,us,us200029c4,2015-04-26T15:33:43.900Z,"16km E of Panaoti, Nepal",earthquake
2015-04-26T08:46:16.890Z,27.8449,85.6858,10,4.5,mb,,166,5.966,0.74,us,us200029c5,2015-04-26T17:07:07.594Z,"21km NE of Nagarkot, Nepal",earthquake
2015-04-26T13:11:15.030Z,27.7571,85.3745,10,4.5,mb,,79,5.41,0.62,us,us200029dc,2015-04-26T17:04:46.116Z,"8km NE of Kathmandu, Nepal",earthquake
2015-04-26T14:44:49.360Z,27.532,85.7493,10,4.6,mb,,150,5.198,0.46,us,us200029dv,2015-04-26T18:15:19.177Z,"24km ESE of Panaoti, Nepal",earthquake
2015-04-26T14:57:05.620Z,28.1203,84.6702,17.6,4.4,mb,,141,5.875,0.6,us,us200029dx,2015-04-26T18:29:20.689Z,"31km ESE of Lamjung, Nepal",earthquake
2015-04-26T16:26:05.310Z,27.7612,85.7704,10,5.3,mwb,,32,5.086,0.65,us,us200029ea,2015-05-01T21:55:18.040Z,"25km ENE of Nagarkot, Nepal",earthquake
2015-04-26T18:54:49.580Z,28.0627,84.7757,10,4.2,mb,,146,5.803,1.1,us,us200029ev,2015-04-27T02:57:32.417Z,"43km ESE of Lamjung, Nepal",earthquake
2015-04-26T20:39:20.740Z,27.9696,85.7964,10,4.4,mb,,125,5.921,1.14,us,us200029fa,2015-04-27T19:26:12.632Z,"15km W of Kodari, Nepal",earthquake
2015-04-26T22:32:34.010Z,27.4597,85.6194,10,4.6,mb,,150,5.896,1.19,us,us200029gc,2015-04-27T18:25:19.300Z,"17km SE of Panaoti, Nepal",earthquake
2015-04-27T00:39:16.380Z,27.6727,85.0727,10,4.2,mb,,153,0.219,1.1,us,us200029h7,2015-05-02T22:35:30.729Z,"20km W of Kirtipur, Nepal",earthquake
2015-04-27T14:57:00.230Z,27.824,85.9208,10,4.1,mb,,162,4.938,0.69,us,us200029la,2015-04-28T07:58:38.733Z,"14km S of Kodari, Nepal",earthquake
2015-04-27T15:51:46.230Z,27.6385,85.0551,10,4.5,mb,,140,5.717,0.81,us,us200029lc,2015-04-28T04:48:22.758Z,"22km WSW of Kirtipur, Nepal",earthquake
2015-04-27T18:59:56.750Z,28.0036,84.7534,20.01,4.8,mb,,60,5.84,0.69,us,us200029ma,2015-04-28T12:35:39.663Z,"44km ESE of Lamjung, Nepal",earthquake
2015-04-27T21:27:41.510Z,27.7555,85.6771,10,4.3,mb,,170,5.942,0.51,us,us200029p0,2015-04-28T11:03:32.607Z,"16km ENE of Nagarkot, Nepal",earthquake
2015-04-27T23:20:28.110Z,27.8836,85.1996,10,4.3,mb,,101,5.508,0.98,us,us200029qa,2015-04-28T17:01:35.496Z,"23km NNW of Kathmandu, Nepal",earthquake
2015-04-29T11:27:44.810Z,27.8566,85.4211,10,4.4,mb,,128,6.19,0.58,us,us20002a59,2015-04-29T21:33:50.134Z,"18km NNW of Nagarkot, Nepal",earthquake
2015-04-29T17:16:35.370Z,27.8505,85.6739,10,4.3,mb,,143,5.129,1.2,us,us20002a8d,2015-04-30T09:02:47.370Z,"21km NE of Nagarkot, Nepal",earthquake
2015-04-29T22:10:52.170Z,28.4134,87.2704,10,4.5,mb,,91,4.977,0.91,us,us20002abh,2015-04-30T06:17:22.763Z,"30km SE of Xegar, China",earthquake
2015-04-30T00:37:10.990Z,27.9232,84.6177,10,4.3,mb,,99,1.941,1.03,us,us20002acq,2015-05-02T21:22:23.842Z,"32km NE of Bharatpur, Nepal",earthquake
2015-05-02T05:35:46.360Z,28.2745,84.6212,10,5,mb,,91,1.96,0.85,us,us20002atq,2015-05-02T18:22:31.535Z,"25km E of Khudi, Nepal",earthquake
2015-05-02T21:44:10.130Z,27.6897,85.9226,10,4.2,mb,,93,0.831,0.9,us,us20002awm,2015-05-03T18:27:10.071Z,"29km S of Kodari, Nepal",earthquake
